米尼,3,3342,4.40%,18.40%,53.00%,19.10%,5.10%,531,62,爱情,中国,汉语普通话,2007,96,20052
斗爱,4,2692,19.40%,27.40%,41.80%,8.80%,2.70%,821,41,剧情/爱情,中国,汉语普通话,2009,90,18844
租期,4,2497,8.80%,30.80%,49.30%,8.90%,2.20%,465,63,剧情,中国,汉语普通话,2006,0,16729.9
金山 Iron Road,4,2320,13.30%,36.80%,42.30%,6.30%,1.30%,461,22,剧情,加拿大 / 中国,英语,2009,169,16472
烈火金钢,4,2157,15.80%,43.50%,34.70%,4.80%,1.20%,289,5,剧情/动作/战争,中国,汉语普通话,0,170,15961.8
飞行日志,4,2386,13.90%,25.90%,41.50%,13.70%,5.00%,504,57,剧情,中国,汉语普通话,2007,0,15747.6
森冤,3,3476,0.90%,5.20%,34.20%,38.60%,21.10%,465,21,惊悚/恐怖/犯罪,香港 / 中国,粤语,2007,98,15642
天上的恋人,4,2117,15.60%,41.20%,38.20%,4.40%,0.70%,416,17,剧情,中国,汉语普通话,0,93,15454.1
伯爵夫人 The White Countess,4,2203,8.70%,32.90%,49.40%,8.20%,0.80%,448,27,剧情/爱情/历史/战争,英国 / 美国 / 德国 / 中国,英语 / 法语 / 中文,2005,135,14980.4
青春爱人事件,3,2168,7.60%,27.70%,46.80%,13.50%,4.50%,239,28,剧情,中国,汉语普通话,2005,88,13875.2
凤凰琴,4,1781,20.20%,48.10%,29.00%,2.40%,0.20%,325,12,剧情,中国,汉语普通话,0,90,13713.7
血战到底,3,2391,3.90%,12.40%,51.10%,25.50%,7.10%,333,31,喜剧,中国,汉语普通话,2006,0,13389.6
青春之歌,4,1814,11.90%,37.00%,43.30%,5.40%,2.40%,403,15,剧情,中国,汉语普通话,0,157,12698
达达,3,1915,7.80%,23.40%,49.30%,16.20%,3.30%,511,27,剧情,中国,普通话,2009,92,12064.5
头发乱了,4,1750,9.50%,28.40%,45.40%,13.30%,3.30%,452,21,剧情,中国,汉语普通话,0,91,11550
杀人者唐斩,3,1695,6.80%,23.90%,53.90%,13.10%,2.30%,326,4,剧情/动作/恐怖/奇幻,香港 / 中国,粤语,1993,87,10848
战·无双 戰•無雙,2,2368,1.60%,2.70%,18.30%,36.50%,40.90%,472,27,剧情/动作,香港 / 中国,粤语 / 汉语普通话,2009,87,8998.4
神秘的大佛,4,1326,7.20%,28.40%,54.20%,8.20%,1.90%,275,4,剧情/动作/悬疑/惊悚/恐怖/犯罪/武侠,中国,国语,0,100,8751.6
女理发师,4,1056,19.60%,52.10%,26.40%,1.90%,0.00%,240,3,剧情/喜剧,中国,汉语普通话,0,49,8236.8
月蚀,4,1074,10.60%,43.10%,38.30%,6.70%,1.30%,307,7,剧情,中国,汉语普通话,1999,95,7625.4
苦菜花,4,917,11.10%,29.90%,50.80%,5.80%,2.40%,99,2,剧情/战争,中国,汉语普通话,0,90,6235.6
少林英雄之方世玉洪熙官,3,905,4.40%,15.20%,60.90%,17.40%,2.00%,58,2,动作,香港 / 中国,粤语,0,86,5520.5
秋瑾,4,405,9.40%,26.70%,55.60%,7.30%,1.00%,56,0,传记,中国,汉语普通话,0,120,2713.5
无人喝彩,4,364,13.70%,42.20%,41.00%,3.10%,0.00%,63,4,剧情,中国,汉语普通话,0,0,2657.2
冬日细语,4,313,44.00%,37.50%,15.70%,1.90%,0.90%,109,5,剧情/爱情,中国,中文,2002,94,2629.2
超蛙战士之初露锋芒,2,637,7.20%,9.30%,18.10%,14.50%,50.90%,230,27,科幻/动画/冒险,中国,汉语普通话,2010,90,2611.7
街口,4,303,22.70%,50.20%,24.20%,2.90%,0.00%,62,8,剧情/动作,中国,汉语普通话,0,0,2393.7
邓小平1928,3,407,1.50%,17.00%,58.70%,12.40%,10.40%,64,1,剧情/传记,中国,国语,2004,96,2319.9
注定爱你,3,184,12.00%,18.50%,28.70%,22.20%,18.50%,49,3,爱情,中国,汉语普通话,2009,0,1048.8
我把初吻献给谁,4,115,22.10%,27.90%,41.20%,4.40%,4.40%,16,3,爱情,中国,汉语普通话,2006,90,828
神龙车队,4,105,13.20%,19.70%,56.60%,5.30%,5.30%,23,0,动作/战争,中国,普通话,0,0,693
关不住的春光,4,93,4.20%,48.60%,38.90%,8.30%,0.00%,33,3,剧情/爱情,中国,汉语普通话,1948,99,651
精灵女孩小卓玛,3,95,15.50%,12.70%,26.80%,23.90%,21.10%,20,1,动画/奇幻,中国,汉语普通话,2009,87,522.5
九连环,3,103,6.80%,9.60%,30.10%,26.00%,27.40%,35,1,剧情/悬疑,中国,汉语普通话,0,84,494.4
春江遗恨 狼火は上海に揚る,4,63,18.20%,38.60%,36.40%,4.50%,2.30%,28,2,剧情/历史/战争,日本 / 中国,汉语普通话 / 日语 / 英语,1944,105,459.9
人海遗珠,4,50,0.00%,50.00%,44.70%,5.30%,0.00%,25,0,爱情,中国,汉语普通话,0,0,345
杨得志围城打援,3,57,7.70%,12.80%,48.70%,23.10%,7.70%,18,0,剧情/战争,中国,普通话,0,89,330.6
